Trait1,Trait2,Category,Corr.100x100.Low,BF.100x100.Low,Corr.100x100.Mid,BF.100x100.Mid,Corr.100x100.High,BF.100x100.High,Corr.Astral,BF.Astral,BF.Astral.Untransformed,Corr.Astral.Untransformed,BF.SVD,Corr.SVD,BF.RAxML,Corr.RAxML,Contemporary.Corr,Contemporary.P
lma,map,trait-envi,-0.481221043,14.724488,-0.156384518,1.053844,0.244150703,3.336906,-0.1695,0.7825,2.2334,0.0215,0.7105,0.0542,-0.2703,0.0506,-0.406040787,0.001564539
lma,mat,trait-envi,-0.410412381,9.951212,-0.02565293,-0.850868,0.315249903,6.251164,0.015,1.2037,1.4016,0.1564,1.1021,-0.0975,0.8946,-0.0252,-0.212935717,0.108530516
lma,pet,trait-envi,-0.430885762,10.306322,-0.030020203,0.650894,0.466622009,14.24064,-0.0851,0.8212,-0.3356,0.0813,0.8714,0.1352,0.266,0.0056,0.347375409,0.007546805
lma,rfl2mm,trait-envi,-0.363182962,8.410424,0.04260192,-0.248174,0.39378449,9.866758,0.0696,1.4274,1.2021,-0.0691,1.3097,-0.1471,1.1267,0.0109,-0.250387204,0.057999685
lma,rflcv,trait-envi,-0.409732495,9.643622,-0.098800793,1.036558,0.370296506,9.979916,-0.1502,1.072,0.9717,0.1135,2.2547,0.1973,1.9927,0.14,0.329757513,0.01147701
lma,summer,trait-envi,-0.557945994,19.543428,-0.265842035,2.585742,0.142609209,0.764106,-0.3616,8.1693,2.4828,-0.2402,8.6428,-0.3661,2.1372,-0.1653,-0.294580875,0.024788168
lma,tmax,trait-envi,-0.438836414,12.148662,-0.06106469,-0.39375,0.390168129,9.129594,-0.1014,1.6629,-1.2455,-0.1164,1.4596,-0.102,-1.249,-0.0546,-0.118377954,0.376139489
lma,tmin,trait-envi,-0.222846287,3.169576,0.145094008,1.4456,0.259310533,4.324704,0.156,1.082,0.7957,0.0976,0.744,0.1498,-0.1931,0.0609,-0.069206255,0.605711006
lma,tvar,trait-envi,-0.394520512,9.366114,-0.104641931,1.238216,0.287204619,3.60379,-0.1869,2.264,3.2177,-0.1676,2.302,-0.2028,0.6942,-0.0613,-0.072395738,0.589157846
lwr,fwc,trait-trait,-0.020207836,0.400492,0.082209194,0.09475,0.204698586,1.994394,0.0313,1.7378,0.4489,-0.0268,-1.2039,0.0828,0.4328,0.1595,-0.176359938,0.18540793
lwr,sd,trait-trait,-0.217375087,3.095658,-0.05389226,1.593494,0.126570885,1.534834,-0.0381,0.5875,0.1553,0.1068,4.386,0.3092,4.7012,0.2888,0.024386637,0.855812592
lwr,nmass,trait-trait,0.165014305,2.311854,0.284645108,3.884942,0.455642355,13.36339,0.3004,4.9228,0.0143,-0.0163,1.1807,0.1609,7.6188,0.3618,-0.163742393,0.2193763
lwr,d13c,trait-trait,-0.070081662,0.260664,0.133694004,1.24428,0.313535746,5.72044,0.1577,1.2982,1.1001,-0.1449,5.9646,-0.3093,7.3774,-0.3603,0.042970357,0.74875867
lwr,cnratio,trait-trait,-0.468744994,12.067904,-0.303630045,4.338206,-0.197398456,1.001782,-0.2981,4.7523,0.0404,0.0464,0.9378,-0.148,1.5401,0.1653,0.15688017,0.239573176
lwr,elev,trait-envi,-0.337845938,6.362012,-0.04176486,0.514978,0.260276488,3.773878,-0.0872,0.241,0.3306,0.0444,1.8877,0.1861,1.1686,-0.1521,-0.093512179,0.485054168
lwr,map,trait-envi,-0.063344399,0.25983,0.121762526,0.369048,0.382946272,7.433666,0.1928,1.7125,-0.1361,-0.0192,0.3973,0.0526,0.5278,0.1172,-0.068955075,0.60702317
lwr,mat,trait-envi,-0.245073266,2.782778,0.036345474,0.327138,0.354265994,6.718858,0.0476,0.0316,1.2635,0.0861,-0.3153,0.0694,5.0714,0.2953,0.124095883,0.353352074
lwr,pet,trait-envi,-0.248510938,3.76119,0.024059743,-0.280454,0.319082866,3.882794,0.0679,-0.094,0.094,0.0573,0.428,0.0391,4.6929,-0.2823,0.241983937,0.067237939
lwr,rfl2mm,trait-envi,-0.202343907,2.033448,0.054658926,-0.065292,0.314867327,6.894792,0.067,1.1776,-0.0579,0.012,-0.0817,0.0298,9.1929,0.3926,-0.036169398,0.787506674
lwr,rflcv,trait-envi,-0.312129056,6.276296,0.011900154,-1.292996,0.328663394,6.57292,0.0301,0.4391,0.1597,0.0331,-0.2412,-0.0682,0.0914,-0.0196,0.003183742,0.98107684
lwr,summer,trait-envi,0.01967434,0.525564,0.211698059,3.381986,0.4270919,11.581394,0.2813,5.0441,0.3149,0.0164,4.8932,0.2636,12.1827,0.4391,-0.033241776,0.804351648
lwr,tmax,trait-envi,-0.351601943,8.4261,-0.045490217,-0.099458,0.301111465,5.254424,-0.0597,0.1456,0.1568,-0.0243,0.4161,-0.0779,2.647,0.2073,0.085251491,0.524592319
lwr,tmin,trait-envi,0.005064331,0.368348,0.115946618,1.572786,0.338150362,7.004816,0.1279,0.1079,-0.0383,0.0179,0.4204,0.1152,2.5652,-0.1964,0.093335389,0.48588356
lwr,tvar,trait-envi,-0.321510855,6.97402,-0.082193592,0.680206,0.180322291,1.78479,-0.1015,-0.0609,0.5853,-0.0533,0.5617,-0.0823,5.2801,0.2922,-0.023405583,0.861554945
fwc,sd,trait-trait,-0.2469588,2.680772,-0.12154359,0.988002,0.049904535,0.43892,-0.0798,0.6971,12.3976,0.4471,13.434,0.4621,10.6982,0.4007,0.052646037,0.694700129
fwc,nmass,trait-trait,0.23974736,4.24003,0.418938032,9.883882,0.569360302,21.305962,0.3304,5.3838,0.7311,0.0895,-0.0708,0.0833,5.368,0.3031,0.251893606,0.056457572
fwc,d13c,trait-trait,-0.297453399,4.614406,0.071208639,0.35945,0.453901496,13.51812,0.1694,1.3154,12.7996,-0.4548,17.9491,-0.5264,15.0356,-0.5223,-0.262927045,0.046147806
fwc,cnratio,trait-trait,-0.605633808,23.582938,-0.462217062,12.936486,-0.339387131,7.360254,-0.3104,5.4998,0.2768,-0.081,0.4615,-0.0644,0.4023,-0.022,-0.302684604,0.020918016
fwc,elev,trait-envi,-0.406250976,10.809752,-0.056921556,0.987314,0.301210473,4.57584,-0.0513,0.0941,0.6182,0.1116,1.3767,0.1749,1.1203,0.1554,-0.037363402,0.780663801
fwc,map,trait-envi,-0.404390376,9.140122,0.137563709,0.735016,0.55180879,18.736676,0.2608,4.5227,0.5159,0.0796,0.8896,0.034,0.8257,0.0436,0.360884952,0.005385098
fwc,mat,trait-envi,-0.431424772,10.576912,0.082007247,-0.139046,0.48956899,13.286658,0.0406,-0.2395,3.2542,-0.1637,3.7065,-0.2313,1.4195,-0.1545,0.23814414,0.071834223
fwc,pet,trait-envi,-0.504087931,15.861702,-0.139126369,0.400458,0.40932027,9.755712,0.0797,0.1586,-0.0913,-0.0449,0.7071,-0.0273,0.543,-0.0306,-0.409387392,0.001417625
fwc,rfl2mm,trait-envi,-0.507625954,16.041438,-0.048423885,0.540322,0.44981621,12.814992,0.0557,-0.0612,0.1342,0.0611,0.821,-0.0096,0.4862,0.1294,0.217360188,0.101215
fwc,rflcv,trait-envi,-0.467869538,14.621598,0.018493915,-0.835852,0.421491338,9.920792,0.0968,1.3929,-0.1465,-0.0205,0.2158,-0.1165,-0.3938,-0.0893,-0.291064959,0.026645973
fwc,summer,trait-envi,-0.170476394,1.777472,0.149964552,2.136582,0.472020697,13.46539,0.37,5.0266,-0.1587,0.068,0.9511,0.189,2.6643,0.2245,0.275880083,0.036066999
fwc,tmax,trait-envi,-0.352153629,8.713482,0.04749083,-0.764492,0.578094144,22.36476,-0.0189,-0.0476,1.9071,0.1436,-0.1912,0.1232,0.4734,0.0981,0.097755829,0.465371305
